               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  57,              1.0415,             0.98831,              1.2857,             0.81803,             0.77666,             0.83434,             0.58183,              1.1127,             0.88956,              1.4149,            0.004456,            0.004456,            0.004456
                  58,              1.0367,             0.98368,              1.2836,             0.83618,             0.77525,             0.83325,             0.59264,              1.0935,             0.87871,              1.3975,            0.004357,            0.004357,            0.004357
                  59,              1.0328,             0.97999,              1.2847,             0.84677,             0.77277,             0.83875,             0.59318,                 1.1,             0.88494,              1.4018,            0.004258,            0.004258,            0.004258
                  60,              1.0456,             0.98082,              1.2874,             0.86123,             0.76245,             0.83524,             0.59231,              1.0972,             0.87886,              1.3985,            0.004159,            0.004159,            0.004159
                  61,               1.033,             0.96274,              1.2784,             0.85381,              0.7737,             0.84345,             0.59262,              1.0986,             0.86392,              1.3894,             0.00406,             0.00406,             0.00406
                  62,              1.0203,             0.96277,               1.273,             0.85637,             0.77731,             0.84481,              0.5975,              1.0917,             0.85667,              1.3934,            0.003961,            0.003961,            0.003961
                  63,              1.0226,             0.94544,              1.2785,             0.83932,             0.77636,             0.84299,             0.59703,              1.0933,             0.86087,              1.4014,            0.003862,            0.003862,            0.003862
                  64,              1.0064,             0.92881,               1.256,             0.83522,              0.7771,             0.83931,             0.59481,              1.0784,               0.866,              1.3814,            0.003763,            0.003763,            0.003763
                  65,              1.0182,             0.93185,              1.2649,             0.84532,             0.77363,             0.84077,             0.59612,              1.0828,             0.86572,              1.3858,            0.003664,            0.003664,            0.003664
                  66,              1.0168,             0.92448,              1.2698,             0.84861,             0.78699,             0.84499,             0.60017,              1.0973,             0.85555,              1.4014,            0.003565,            0.003565,            0.003565
                  67,              1.0027,             0.91678,              1.2513,             0.82087,             0.79633,             0.84782,             0.60194,               1.086,             0.85094,              1.3898,            0.003466,            0.003466,            0.003466
                  68,              1.0026,             0.90783,               1.247,             0.84587,             0.78264,             0.84512,             0.60345,              1.0902,             0.85559,              1.3848,            0.003367,            0.003367,            0.003367
                  69,              1.0035,             0.90879,              1.2536,             0.83801,             0.78463,             0.84325,             0.60074,              1.0853,             0.87042,              1.3902,            0.003268,            0.003268,            0.003268
                  70,             0.98593,             0.88248,              1.2458,             0.85434,             0.78845,             0.84758,             0.60266,              1.0926,             0.85389,              1.3873,            0.003169,            0.003169,            0.003169
                  71,             0.99611,             0.91205,              1.2559,             0.84411,              0.7851,             0.84686,             0.60712,              1.0886,             0.85051,              1.3904,             0.00307,             0.00307,             0.00307
                  72,             0.97472,              0.8777,               1.244,             0.83482,             0.79247,             0.84711,             0.61164,              1.0848,             0.84427,              1.3856,            0.002971,            0.002971,            0.002971
                  73,             0.98561,             0.86861,              1.2334,             0.83595,             0.78895,             0.84664,             0.60031,              1.0957,              0.8452,              1.3982,            0.002872,            0.002872,            0.002872
                  74,             0.97103,             0.86258,              1.2342,             0.86358,             0.78247,             0.84886,             0.60519,              1.0866,             0.84952,              1.3946,            0.002773,            0.002773,            0.002773
